epoch,lr,train_loss,valid_e_rmse,valid_f_rmse,elapsed_s
0,0.0002,0.000374153166019487,nan,nan,26.612197160720825
1,0.0002,0.00010776381159798695,nan,nan,53.39250874519348
2,0.0002,8.964732525257771e-05,nan,nan,79.92669081687927
3,0.0002,6.876354987767083e-05,nan,nan,106.67860436439514
4,0.0002,6.030725424588334e-05,nan,nan,133.42803359031677
5,0.0002,5.6854970288025674e-05,nan,nan,156.3060426712036
6,0.00019932542372881357,5.787113119880802e-05,nan,nan,180.23509907722473
7,0.00019865084745762713,5.277701132152113e-05,nan,nan,206.83166003227234
8,0.0001979762711864407,5.0346121362800305e-05,nan,nan,233.57302713394165
9,0.00019730169491525423,5.1415016056515534e-05,3.998676853274507,56.80449784455574,260.12945556640625
10,0.0001966271186440678,6.119459349542774e-05,nan,nan,288.79633474349976
11,0.00019595254237288136,5.606851608075358e-05,nan,nan,315.20136284828186
12,0.00019527796610169492,6.454968225284739e-05,nan,nan,342.0233733654022
13,0.00019460338983050848,5.63716619076278e-05,nan,nan,368.824511051178
14,0.00019392881355932205,5.111987354058444e-05,nan,nan,395.6081726551056
15,0.0001932542372881356,9.21249432234222e-05,nan,nan,422.4363648891449
16,0.00019257966101694917,7.142100527380606e-05,nan,nan,449.0371608734131
17,0.00019190508474576273,5.263178067261066e-05,nan,nan,475.71160078048706
18,0.00019123050847457627,4.857844894703342e-05,nan,nan,502.293497800827
19,0.00019055593220338983,4.685389999097686e-05,4.029452930112923,56.67103904191055,529.0403745174408
20,0.0001898813559322034,5.11493832850042e-05,nan,nan,558.0563380718231
21,0.00018920677966101696,4.669509059498177e-05,nan,nan,584.7113654613495
22,0.00018853220338983052,4.601392392584551e-05,nan,nan,611.5336728096008
23,0.00018785762711864408,4.938949772641413e-05,nan,nan,638.1818165779114
24,0.00018718305084745765,5.7068905596611104e-05,nan,nan,665.008761882782
25,0.00018650847457627118,4.8373115041957066e-05,nan,nan,692.0624439716339
26,0.00018583389830508474,0.00011845577236884191,nan,nan,718.9715657234192
27,0.0001851593220338983,8.515641254353549e-05,nan,nan,745.8060643672943
28,0.00018448474576271187,5.428508925554911e-05,nan,nan,772.7293808460236
