epoch,lr,train_loss,valid_e_rmse,valid_f_rmse,elapsed_s
0,0.001,0.0006294552881254315,nan,nan,22.287689685821533
1,0.001,0.00010334764717980181,nan,nan,44.599098205566406
2,0.001,0.0002987832653594222,nan,nan,67.88570213317871
3,0.001,0.00011827086834047894,nan,nan,94.83152222633362
4,0.001,0.00029813054672306403,nan,nan,121.92479014396667
5,0.001,0.00011625383988390961,nan,nan,149.1698989868164
6,0.001,9.293094655120876e-05,nan,nan,175.85885214805603
7,0.001,7.178217927702486e-05,nan,nan,202.47114038467407
8,0.001,0.0005864750112367496,nan,nan,228.961576461792
9,0.001,0.0031119768629640663,5.091936623345714,86.66032823516508,256.00030398368835
10,0.001,0.002501539050706515,nan,nan,284.7896406650543
11,0.0009965862068965518,0.0023810088956880194,nan,nan,311.78807044029236
12,0.0009931724137931034,0.0016344626551533198,nan,nan,338.543998003006
13,0.0009897586206896551,0.0036850076116109977,nan,nan,365.3322651386261
14,0.000986344827586207,0.0030019090560336474,nan,nan,392.22515630722046
15,0.0009829310344827587,0.001600054087756676,nan,nan,419.1162419319153
16,0.0009795172413793103,0.0012274526894866284,nan,nan,445.99917936325073
17,0.000976103448275862,0.0011849869557011188,nan,nan,472.8155794143677
18,0.0009726896551724138,0.0008985026773412586,nan,nan,499.777685880661
19,0.0009692758620689655,0.0007511549290784884,4.343219754694783,64.25816443411688,526.8240826129913
20,0.0009658620689655173,0.000700733050438242,nan,nan,555.8216173648834
21,0.0009624482758620689,0.0006120489090136353,nan,nan,582.5798432826996
22,0.0009590344827586207,0.000520469784728037,nan,nan,609.2257947921753
23,0.0009556206896551724,0.000491253552919936,nan,nan,636.0112175941467
24,0.0009522068965517242,0.0004326319474746647,nan,nan,662.7119297981262
25,0.0009487931034482758,0.0003995686919668301,nan,nan,689.1892592906952
26,0.0009453793103448276,0.00037398734169826516,nan,nan,715.7598011493683
27,0.0009419655172413793,0.0003434258534295414,nan,nan,742.108113527298
28,0.0009385517241379311,0.00033621399495021627,nan,nan,768.701005935669
29,0.0009351379310344827,0.0009000490880807098,4.960271178395816,58.61293307209493,795.2580416202545
30,0.0009317241379310345,0.00042253086111876924,nan,nan,823.7033188343048
31,0.0009283103448275862,0.0003619823799551446,nan,nan,850.3952884674072
32,0.000924896551724138,0.0002880295597594703,nan,nan,876.7518599033356
33,0.0009214827586206896,0.0003144172573652973,nan,nan,903.4142515659332
34,0.0009180689655172414,0.0002516092161154816,nan,nan,930.1324853897095
35,0.0009146551724137931,0.00024425567216818436,nan,nan,956.7660527229309
36,0.0009112413793103449,0.00022683400569184462,nan,nan,983.4346673488617
37,0.0009078275862068965,0.0002120781085210485,nan,nan,1010.2495894432068
38,0.0009044137931034483,0.00019763347466980982,nan,nan,1036.8963260650635
39,0.000901,0.0001884517647815531,5.095801016764616,56.277136636236676,1063.6581897735596
40,0.0008975862068965518,0.0001759838089542379,nan,nan,1092.484183549881
41,0.0008941724137931035,0.0007614118226898478,nan,nan,1119.4787874221802
42,0.0008907586206896552,0.0008268171312623614,nan,nan,1146.1170148849487
43,0.0008873448275862069,0.0002852282201917477,nan,nan,1172.8677735328674
44,0.0008839310344827587,0.00023039735042415917,nan,nan,1199.3718357086182
45,0.0008805172413793104,0.00047312251138794146,nan,nan,1226.0491609573364
46,0.0008771034482758621,0.00027376931042046466,nan,nan,1252.9879686832428
47,0.0008736896551724138,0.0002131355659856798,nan,nan,1279.8508577346802
48,0.0008702758620689655,0.0001797159876575311,nan,nan,1306.669505596161
49,0.0008668620689655173,0.0001679942777275064,5.376837450598452,56.74642836166651,1333.2913999557495
50,0.000863448275862069,0.0008355871961115626,nan,nan,1362.037136554718
51,0.0008600344827586207,0.0003743706532304313,nan,nan,1388.867383480072
