epoch,lr,train_loss,valid_e_rmse,valid_f_rmse,elapsed_s
0,1e-05,6.172143260398872e-06,0.11832228748771702,1.7447361965441666,245.41003227233887
1,1e-05,4.01808015002266e-06,0.11163146946079523,1.7555823835495692,492.30054783821106
2,1e-05,3.916943560021385e-06,0.11364155129491658,1.7638131057276114,735.3321194648743
3,9.5e-06,3.835992272093922e-06,0.1320908698398752,1.7657197283422876,981.755609035492
4,9e-06,3.7857044667397604e-06,0.1352461484182953,1.7500278352478082,1227.6816592216492
5,8.5e-06,3.75099647851803e-06,0.14851738914907514,1.7585986343543563,1474.2773880958557
6,8.000000000000001e-06,3.703787945455227e-06,0.11036668457226295,1.7516347499147968,1721.7486107349396
7,7.500000000000001e-06,3.7125494391834583e-06,0.11604218583445991,1.761030637899103,1968.086290359497
8,7.000000000000001e-06,3.720751950151304e-06,0.11563500695332508,1.7644370417997113,2214.199546098709
9,6.5000000000000004e-06,3.6629906471860253e-06,0.11128169889478748,1.7592592495503458,2460.204866886139
10,6.000000000000001e-06,3.6322842111380193e-06,0.09982726387451592,1.744387641545531,2706.873121738434
11,5.500000000000001e-06,3.613629472567295e-06,0.10065154139260031,1.7486185233087166,2954.6193239688873
12,5e-06,3.584999960948156e-06,0.10892985171441649,1.7499809599115117,3201.3639726638794
13,4.5e-06,3.575151463665263e-06,0.1125919995481611,1.7605862819389102,3447.848005771637
14,4.000000000000001e-06,3.562097793414272e-06,0.10565285019243813,1.7552484475831172,3693.9564242362976
15,3.5000000000000004e-06,3.5397575742881386e-06,0.10708017930502803,1.7485119246864866,3940.4816279411316
16,3.000000000000001e-06,3.5255668269762545e-06,0.10271323779504438,1.7465402505084995,4186.744049310684
17,2.5000000000000006e-06,3.510616617143631e-06,0.10222631190432593,1.7462652652701753,4433.774302244186
18,2.000000000000001e-06,3.5030423896863352e-06,0.10497381343500596,1.7506240509538646,4681.129786729813
19,1.5000000000000009e-06,3.492431049264368e-06,0.10160106278487407,1.753588339974112,4928.133693933487
