-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                         PET::backend::compute_features         0.00%       0.000us         0.00%       0.000us       0.000us     502.266ms       201.83%     502.266ms       6.439ms           0 B           0 B           0 B           0 B            78  
                               PET::backend::preprocess         0.00%       0.000us         0.00%       0.000us       0.000us     343.522ms       138.04%     343.522ms       4.404ms           0 B           0 B           0 B           0 B            78  
                               Optimizer.step#Adam.step         0.00%       0.000us         0.00%       0.000us       0.000us     115.384ms        46.36%     115.384ms       1.923ms           0 B           0 B           0 B           0 B            60  
                         PET::backend::compute_features         3.20%     113.269ms        14.44%     510.498ms       6.545ms       0.000us         0.00%      58.167ms     745.733us       3.75 KB           0 B       2.93 GB      -1.94 GB            78  
    autograd::engine::evaluate_function: AddmmBackward0         1.22%      43.050ms         9.43%     333.345ms     126.267us       0.000us         0.00%      56.361ms      21.349us           0 B           0 B    -814.17 MB      -2.57 GB          2640  
                            PET::concatenate_structures         0.00%       0.000us         0.00%       0.000us       0.000us      52.056ms        20.92%      52.056ms     667.381us           0 B           0 B           0 B           0 B            78  
                                           PET::predict         0.00%       0.000us         0.00%       0.000us       0.000us      51.750ms        20.79%      51.750ms     663.464us           0 B           0 B           0 B           0 B            78  
                                               aten::mm         3.92%     138.714ms         6.07%     214.652ms      35.883us      41.581ms        16.71%      41.601ms       6.954us           0 B           0 B       1.84 GB       1.84 GB          5982  
                                         AddmmBackward0         0.75%      26.501ms         6.43%     227.134ms      86.036us       0.000us         0.00%      37.713ms      14.285us           0 B           0 B       1.77 GB           0 B          2640  
                                           aten::linear         0.52%      18.457ms         5.45%     192.605ms      51.444us       0.000us         0.00%      31.443ms       8.398us           0 B           0 B       2.11 GB           0 B          3744  
