-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::addmm         2.09%      74.000ms         3.44%     121.622ms      35.438us      29.475ms        11.84%      29.534ms       8.606us           0 B           0 B       2.09 GB       2.09 GB          3432  
autograd::engine::evaluate_function: ScaledDotProduc...         0.13%       4.540ms         1.24%      43.813ms     182.553us       0.000us         0.00%      28.338ms     118.074us      -3.75 KB      -3.75 KB    -298.44 MB    -661.93 MB           240  
            ScaledDotProductEfficientAttentionBackward0         0.06%       2.151ms         1.11%      39.273ms     163.636us       0.000us         0.00%      28.338ms     118.074us           0 B           0 B     363.50 MB           0 B           240  
aten::_scaled_dot_product_efficient_attention_backwa...         0.10%       3.654ms         1.05%      37.122ms     154.675us       0.000us         0.00%      28.338ms     118.074us           0 B           0 B     363.50 MB           0 B           240  
                    aten::_efficient_attention_backward         0.17%       5.947ms         0.82%      28.865ms     120.271us      26.787ms        10.76%      28.338ms     118.074us           0 B           0 B     363.50 MB      -2.36 GB           240  
fmha_cutlassB_f32_aligned_64x64_k32_sm80(PyTorchMemE...         0.00%       0.000us         0.00%       0.000us       0.000us      26.787ms        10.76%      26.787ms     111.614us           0 B           0 B           0 B           0 B           240  
                                            aten::copy_         2.29%      80.971ms         7.81%     275.991ms      12.606us      18.781ms         7.55%      21.972ms       1.004us           0 B          -4 B           0 B      -2.11 MB         21894  
                                              aten::sum         1.47%      51.865ms         2.50%      88.465ms      23.871us      21.512ms         8.64%      21.722ms       5.861us           0 B           0 B      14.19 MB      14.12 MB          3706  
                               PET::backend::preprocess         1.43%      50.573ms         9.90%     349.957ms       4.487ms       0.000us         0.00%      20.638ms     264.595us           0 B           0 B       4.63 MB     -38.32 MB            78  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      19.211ms         7.72%      19.211ms       6.769us           0 B           0 B           0 B           0 B          2838  
                                               batch_to         1.36%      48.040ms        11.44%     404.143ms       4.124ms       0.000us         0.00%      17.919ms     182.845us           0 B     -18.77 KB       4.34 MB      -3.24 MB            98  
                             PET::non_strict_nl_masking         0.00%       0.000us         0.00%       0.000us       0.000us      17.381ms         6.98%      17.381ms     222.839us           0 B           0 B           0 B           0 B            78  
                     aten::scaled_dot_product_attention         0.12%       4.297ms         0.95%      33.410ms     107.083us       0.000us         0.00%      16.117ms      51.658us       3.75 KB      -1.12 KB     199.92 MB      -5.52 MB           312  
          aten::_scaled_dot_product_efficient_attention         0.11%       4.005ms         0.44%      15.709ms      50.349us       0.000us         0.00%      15.378ms      49.288us       4.88 KB           0 B     182.71 MB           0 B           312  
                     aten::_efficient_attention_forward         0.08%       2.784ms         0.26%       9.304ms      29.822us      15.297ms         6.15%      15.378ms      49.288us       4.88 KB           0 B     182.71 MB           0 B           312  
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us      15.297ms         6.15%      15.297ms      49.029us           0 B           0 B           0 B           0 B           312  
                               Optimizer.step#Adam.step         1.59%      56.222ms         4.23%     149.356ms       2.489ms       0.000us         0.00%      14.827ms     247.117us         460 B        -240 B      22.15 MB    -664.57 MB            60  
                                 ampere_sgemm_32x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us      13.166ms         5.29%      13.166ms      11.926us           0 B           0 B           0 B           0 B          1104  
                        ampere_sgemm_32x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us      13.072ms         5.25%      13.072ms       6.228us           0 B           0 B           0 B           0 B          2099  
                                            aten::index         1.13%      40.047ms         4.60%     162.465ms      51.090us       5.703ms         2.29%      12.219ms       3.842us      53.36 KB      35.55 KB      85.13 MB      82.56 MB          3180  
                    PET::_get_output_atomic_predictions         0.00%       0.000us         0.00%       0.000us       0.000us      10.843ms         4.36%      10.843ms     139.014us           0 B           0 B           0 B           0 B            78  
                                               aten::to         0.50%      17.668ms         9.37%     331.048ms       9.919us       0.000us         0.00%       9.261ms       0.277us      29.82 KB           0 B      22.95 MB           0 B         33376  
                                         aten::_to_copy         0.98%      34.768ms         8.87%     313.380ms      26.397us       0.000us         0.00%       9.261ms       0.780us      29.82 KB           0 B      22.95 MB           0 B         11872  
                        ampere_sgemm_32x32_sliced1x4_nn         0.00%       0.000us         0.00%       0.000us       0.000us       7.797ms         3.13%       7.797ms       5.875us           0 B           0 B           0 B           0 B          1327  
                                              aten::mul         1.08%      38.054ms         1.95%      68.956ms      17.243us       6.488ms         2.61%       6.490ms       1.623us           0 B           0 B       1.02 GB       1.02 GB          3999  
                                          aten::nonzero         1.11%      39.188ms         2.61%      92.072ms      43.308us       6.304ms         2.53%       6.335ms       2.980us      17.81 KB      17.81 KB       1.09 MB      -1.00 KB          2126  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us       5.693ms         2.29%       5.693ms       1.657us           0 B           0 B           0 B           0 B          3436  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8...         0.00%       0.000us         0.00%       0.000us       0.000us       5.495ms         2.21%       5.495ms       7.356us           0 B           0 B           0 B           0 B           747  
autograd::engine::evaluate_function: FusedRmsNormBac...         0.30%      10.535ms         1.41%      49.891ms      69.293us       0.000us         0.00%       5.051ms       7.015us           0 B           0 B    -382.69 MB    -643.10 MB           720  
                                          aten::argsort         0.01%     525.022us         0.94%      33.377ms     142.636us       0.000us         0.00%       4.975ms      21.259us           0 B           0 B       1.38 MB      -1.16 MB           234  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.534s
Self CUDA time total: 248.862ms

