-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                        ampere_sgemm_32x32_sliced1x4_nn         0.00%       0.000us         0.00%       0.000us       0.000us       7.967ms         3.21%       7.967ms       5.919us           0 B           0 B           0 B           0 B          1346  
                                              aten::mul         1.08%      39.355ms         1.93%      70.388ms      17.601us       6.499ms         2.62%       6.501ms       1.626us           0 B           0 B       1.02 GB       1.02 GB          3999  
                                          aten::nonzero         0.92%      33.482ms         2.31%      84.523ms      39.757us       6.302ms         2.54%       6.326ms       2.976us      17.81 KB      17.81 KB       1.09 MB        -512 B          2126  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us       5.741ms         2.31%       5.741ms       1.662us           0 B           0 B           0 B           0 B          3455  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8...         0.00%       0.000us         0.00%       0.000us       0.000us       5.353ms         2.16%       5.353ms       7.373us           0 B           0 B           0 B           0 B           726  
autograd::engine::evaluate_function: FusedRmsNormBac...         0.32%      11.841ms         1.45%      53.039ms      73.666us       0.000us         0.00%       5.026ms       6.981us           0 B           0 B    -381.75 MB    -641.53 MB           720  
                                          aten::argsort         0.02%     558.092us         0.93%      33.850ms     144.659us       0.000us         0.00%       4.983ms      21.295us           0 B           0 B       1.38 MB      -1.16 MB           234  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.652s
Self CUDA time total: 248.210ms

