time[ps] pe[eV] temp[K] press[bar]
0 -34855.3671875 300.00000000000113687 22995.680520688361867
0.10000000000000000555 -34844.5078125 321.39143530406914806 14475.072010024277915
0.2000000000000000111 -34868.53125 299.07474158960138766 10782.452113824907428
0.2999999999999999889 -34893.375 305.56521189223087731 8087.0090163117129123
0.4000000000000000222 -34888.98046875 295.76883575007553873 6476.3665628499938975
0.5 -34886.23046875 304.17653448199723698 7341.2551479752974046
0.5999999999999999778 -34892.97265625 303.18461263303902342 5946.6286799035333388
0.70000000000000006661 -34890.8515625 299.05463746325426655 5198.2866775555776258
0.80000000000000004441 -34885.75 302.25695035102864949 5789.1323672952112247
0.9000000000000000222 -34890.88671875 302.92902134202597608 5203.0587788813700172
1 -34891.921875 297.45611560359407122 5332.3880806749439216
1.1000000000000000888 -34890.26171875 302.26922753355711393 5885.897903864401087
1.1999999999999999556 -34891.99609375 300.28939094706879587 5063.5708399164641378
1.3000000000000000444 -34891.33984375 304.05797719974532356 5228.2615096720428483
1.4000000000000001332 -34893.1640625 296.55797446129975015 6407.2059411660156911
1.5 -34895.07421875 300.03544831734024001 5271.1080682897572842
1.6000000000000000888 -34902.046875 303.93561445770825458 5468.1217757566091677
1.6999999999999999556 -34895.73046875 298.42206849553457459 5089.979881513163491
1.8000000000000000444 -34896.69921875 302.4861805383667388 4787.0343504377924546
1.9000000000000001332 -34899.76953125 298.36181052468560893 5372.4173762030750368
2 -34903.421875 299.73025930847200016 4382.784831212964491
2.1000000000000000888 -34900.5859375 297.09359275649592291 5312.2860283101636014
2.2000000000000001776 -34902.60546875 305.47228163077517138 4659.0141514629649464
2.3000000000000002665 -34906.29296875 303.41383461569046176 4424.0547302815521107
2.3999999999999999112 -34905.79296875 294.34715459848013097 5062.6169759877338947
2.5 -34906.49609375 301.99242248703870928 3958.7482434482817553
2.6000000000000000888 -34903.44921875 297.27664728437645181 4392.7189145287920837
2.7000000000000001776 -34909.4296875 296.32036815075696268 5125.8697263617468707
2.8000000000000002665 -34907.0078125 301.50393116351966682 4020.271993708491209
2.8999999999999999112 -34903.390625 292.65536206883336945 4459.6697277121593288
3 -34904.96484375 304.42683284366160024 5539.11911408762262
3.1000000000000000888 -34904.7578125 296.09535100390900197 4791.5725510428801499
3.2000000000000001776 -34905.8125 305.77981925874456692 4282.5251384991479426
3.3000000000000002665 -34903.64453125 301.094628976113313 5277.9107685982071416
3.3999999999999999112 -34909.90234375 300.6966503854054622 3925.57885001718887
3.5 -34911.09765625 296.33711436022377939 3993.6614133666130328
3.6000000000000000888 -34909.22265625 303.73574101715274765 3776.754176973057838
3.7000000000000001776 -34912.109375 298.55562970451933325 2702.3358756819043265
3.8000000000000002665 -34911.35546875 297.92604675391459068 3550.5282973904313621
3.8999999999999999112 -34913.1953125 309.55052143820887522 4681.6700390801206595
4 -34916.13671875 305.07722856753366614 3586.7187643037923408
4.0999999999999996447 -34914.33984375 296.9501122103199009 4172.2709810888500215
4.2000000000000001776 -34913.49609375 305.48059276507717641 4288.2261825593832327
4.2999999999999998224 -34914.4765625 299.53395733722527439 3982.059781597879919
4.4000000000000003553 -34915.9609375 298.04803055546631185 3228.514512687282604
4.5 -34913.734375 304.58590314645471153 4497.9226280659650001
4.6000000000000005329 -34913.67578125 295.30586139167854753 2894.7929488127879267
4.7000000000000001776 -34910.8125 297.82028959696458514 3355.9705674276397076
4.7999999999999998224 -34912.72265625 309.72467833344461496 3374.8477102677970834
4.9000000000000003553 -34910.8984375 296.3049588836138355 3198.7109770229717469
5 -34911.40234375 300.23281024785177351 3635.6965749795240299
5.1000000000000005329 -34914.7890625 293.70291196942571332 3617.6889273053748184
5.2000000000000001776 -34915.40234375 300.47137517445702315 2457.6208133920636101
5.2999999999999998224 -34910.046875 303.10818101683270243 3199.6091541625760328
5.4000000000000003553 -34914.1875 298.51917512064034099 3111.0405551033936717
5.5 -34917.21875 298.80939208330590873 4008.371701345607562
5.6000000000000005329 -34915.5390625 300.65332751931805433 4254.6472091190880747
5.7000000000000001776 -34923.2265625 298.41766487801316998 3238.2233944126037386
5.7999999999999998224 -34920.66015625 301.04205257384541028 3620.084456013325962
