variant,dataset,repeat,num_workers,batch_size,device,stage,calls,ms_per_call,pct
baseline,si_large,0,0,8,cuda,group_and_join,96,1.38,0.5
baseline,si_large,0,0,8,cuda,h2d,72,2.75,0.7
baseline,si_large,0,0,8,cuda,loader,72,73.37,19.8
baseline,si_large,0,0,8,cuda,loss,72,1.42,0.4
baseline,si_large,0,0,8,cuda,optimizer,72,3.12,0.8
baseline,si_large,0,0,8,cuda,serialize,96,36.39,13.1
baseline,si_large,0,0,8,cuda,step,72,296.6,80.2
baseline,si_large,0,0,8,cuda,transforms,96,27.98,10.1
baseline,si_large,0,0,8,cuda,unpack,72,33.2,9.0
persistent,qm9,0,0,8,cuda,backward,60,11.71,27.8
persistent,qm9,0,0,8,cuda,forward,60,9.28,22.0
persistent,qm9,0,0,8,cuda,group_and_join,78,1.51,4.7
persistent,qm9,0,0,8,cuda,h2d,60,2.11,5.0
persistent,qm9,0,0,8,cuda,loader,60,11.82,28.0
persistent,qm9,0,0,8,cuda,loss,60,1.77,4.2
persistent,qm9,0,0,8,cuda,optimizer,60,2.0,4.7
persistent,qm9,0,0,8,cuda,serialize,78,1.99,6.1
persistent,qm9,0,0,8,cuda,step,60,30.33,72.0
persistent,qm9,0,0,8,cuda,transforms,78,6.7,20.7
persistent,qm9,0,0,8,cuda,unpack,60,1.09,2.6
persistent,qm9,0,0,8,cuda,backward,60,13.67,30.8
persistent,qm9,0,0,8,cuda,forward,60,9.37,21.1
persistent,qm9,0,0,8,cuda,group_and_join,78,1.51,4.4
persistent,qm9,0,0,8,cuda,h2d,60,2.11,4.8
persistent,qm9,0,0,8,cuda,loader,60,11.86,26.7
persistent,qm9,0,0,8,cuda,loss,60,1.85,4.2
persistent,qm9,0,0,8,cuda,optimizer,60,2.07,4.7
persistent,qm9,0,0,8,cuda,serialize,78,2.01,5.9
persistent,qm9,0,0,8,cuda,step,60,32.58,73.3
persistent,qm9,0,0,8,cuda,transforms,78,6.8,19.9
persistent,qm9,0,0,8,cuda,unpack,60,1.1,2.5
persistent,qm9,0,0,8,cuda,backward,60,15.99,34.4
persistent,qm9,0,0,8,cuda,forward,60,9.28,20.0
persistent,qm9,0,0,8,cuda,group_and_join,78,1.5,4.2
persistent,qm9,0,0,8,cuda,h2d,60,2.09,4.5
persistent,qm9,0,0,8,cuda,loader,60,11.59,24.9
persistent,qm9,0,0,8,cuda,loss,60,1.83,3.9
persistent,qm9,0,0,8,cuda,optimizer,60,2.17,4.7
persistent,qm9,0,0,8,cuda,serialize,78,1.92,5.4
persistent,qm9,0,0,8,cuda,step,60,34.89,75.1
