variant,dataset,repeat,num_workers,batch_size,device,epochs,seed,host,gpu,torch,n_train,n_val,best_val_metric,best_model_metric,best_epoch,epoch1_train_loss,epoch1_val_loss,wall_s,peak_gb,added_gb,baseline_gb,atoms_per_s,structures_per_s,loader_ms,step_ms,unpack_ms,h2d_ms,serialize_ms,group_and_join_ms,transforms_ms,started,finished
pinned,qm9,0,0,8,cuda,6,1,cosmopc27,NVIDIA GeForce RTX 4070 Ti SUPER,2.13.0+cu126,80,20,0.001495,mae_prod,2,10.045946,1.718918,4.9,1.75,1.12,0.63,1642.8,175.0,11.91,33.8,1.1,2.1,1.95,1.5,6.79,2026-09-22T07:59:27+00:00,2026-09-22T07:59:34+00:00
pinned,qm9,0,0,8,cuda,6,2,cosmopc27,NVIDIA GeForce RTX 4070 Ti SUPER,2.13.0+cu126,80,20,0.001431,mae_prod,2,11.72717,1.014143,4.9,1.75,1.12,0.63,1674.0,178.3,11.91,32.95,1.1,2.08,2.01,1.52,6.73,2026-09-22T07:57:33+00:00,2026-09-22T07:57:41+00:00
pinned,carbon,0,0,8,cuda,6,0,cosmopc27,NVIDIA GeForce RTX 4070 Ti SUPER,2.13.0+cu126,80,20,0.133207,mae_prod,2,124.630446,25.216593,5.0,1.76,1.13,0.63,694.3,173.6,12.19,33.9,1.28,2.03,2.05,1.51,6.82,2026-09-22T07:59:50+00:00,2026-09-22T07:59:58+00:00
pinned,carbon,0,0,8,cuda,6,1,cosmopc27,NVIDIA GeForce RTX 4070 Ti SUPER,2.13.0+cu126,80,20,0.165395,mae_prod,4,157.832732,36.078711,5.0,1.76,1.13,0.63,687.4,171.8,12.04,34.51,1.29,2.04,2.06,1.52,6.72,2026-09-22T07:55:58+00:00,2026-09-22T07:56:05+00:00
pinned,carbon,0,0,8,cuda,6,2,cosmopc27,NVIDIA GeForce RTX 4070 Ti SUPER,2.13.0+cu126,80,20,0.130483,mae_prod,1,33.143173,3.174952,5.0,1.76,1.13,0.63,683.8,171.0,12.97,33.82,1.29,2.04,2.09,1.99,6.96,2026-09-22T07:56:19+00:00,2026-09-22T07:56:27+00:00
pinned,si216,0,0,8,cuda,6,0,cosmopc27,NVIDIA GeForce RTX 4070 Ti SUPER,2.13.0+cu126,51,13,0.000364,mae_prod,1,11.666912,5.80816,6.3,1.75,1.12,0.63,15264.3,70.7,31.62,81.59,9.29,2.25,12.8,2.13,12.09,2026-09-22T07:56:35+00:00,2026-09-22T07:56:44+00:00
pinned,si216,0,0,8,cuda,6,1,cosmopc27,NVIDIA GeForce RTX 4070 Ti SUPER,2.13.0+cu126,51,13,0.000363,mae_prod,1,20.820797,3.433699,6.3,1.74,1.11,0.63,15310.9,70.9,31.81,81.05,8.9,2.24,12.64,2.11,11.78,2026-09-22T07:58:39+00:00,2026-09-22T07:58:48+00:00
pinned,si216,0,0,8,cuda,6,2,cosmopc27,NVIDIA GeForce RTX 4070 Ti SUPER,2.13.0+cu126,51,13,0.000367,mae_prod,0,9.618084,2.667258,6.3,1.74,1.11,0.63,15213.5,70.4,31.22,82.36,9.64,2.21,11.65,2.14,12.51,2026-09-22T07:58:29+00:00,2026-09-22T07:58:38+00:00
pinned,si_large,0,0,8,cuda,6,0,cosmopc27,NVIDIA GeForce RTX 4070 Ti SUPER,2.13.0+cu126,102,26,9.2e-05,mae_prod,5,22.935662,6.984008,33.0,1.84,1.2,0.64,20726.1,20.7,86.62,299.37,37.28,2.71,44.0,1.37,28.64,2026-09-22T07:58:49+00:00,2026-09-22T07:59:26+00:00
pinned,si_large,0,0,8,cuda,6,1,cosmopc27,NVIDIA GeForce RTX 4070 Ti SUPER,2.13.0+cu126,102,26,9.2e-05,mae_prod,5,30.293346,7.619513,33.0,1.82,1.18,0.64,20759.2,20.8,86.18,299.19,36.82,2.72,43.61,1.37,28.66,2026-09-22T07:57:42+00:00,2026-09-22T07:58:18+00:00
